fid,OGC_FID,3D_Easting,3D_Northing,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
8770,952,301062.0968,125725.1803,Buildings,301062.3,125723.48,-0.203241429,1.700263666,1.712367838
8783,890,300370.7215,125296.4462,Buildings,300367.74,125295.9,2.981480042,0.546182747,3.031095319
8784,925,300354.9684,125290.1527,Buildings,300354.635,125290.264,0.333407797,-0.111295188,0.35149307
8814,964,301007.5335,126470.6497,Buildings,301005.075,126470.296,2.458516657,0.353710407,2.483830752
8815,929,300993.155,126465.8344,Buildings,300991.081,126465.221,2.073959771,0.613448125,2.162782405
8828,869,301150.7505,125095.6983,Buildings,301148.783,125094.346,1.967481867,1.352276177,2.387390994
8838,956,301172.7612,125049.2394,Buildings,301171.42,125047.88,1.341157445,1.359416145,1.909637544
8843,956,301172.7612,125049.2394,Buildings,301171.42,125047.88,1.341157445,1.359416145,1.909637544
9020,866,302611.0865,127046.7716,Buildings,302609.222,127045.469,1.864549049,1.302619905,2.274502533
9445,1182,303556.2091,129028.7201,Buildings,303553.55,129027.94,2.659146048,0.780123845,2.771218309
9446,1207,303538.0532,129027.0967,Buildings,303539.38,129027.16,-1.326753153,-0.063307871,1.328262706
9493,1181,300382.5216,129629.686,Buildings,300379.93,129629.24,2.59162832,0.446039469,2.629731651
9525,1247,300419.4252,129640.0155,Buildings,300416.77,129639.27,2.655151053,0.74554005,2.757835579
9904,827,303054.1016,126271.215,Buildings,303051.38,126269.8,2.721557997,1.415004111,3.067428005
9907,767,303053.4312,126252.7682,Buildings,303051.06,126251.88,2.371152125,0.888234754,2.532059118
10838,32,301827.0042,142993.8761,Buildings,301825.39,142992.08,1.614241149,1.796136921,2.414929052
11279,1007,302888.7477,133956.2514,Buildings,302886.38,133954.53,2.367663528,1.721379314,2.927281559
11283,1058,302867.8218,133925.4432,Buildings,302865.93,133924.58,1.89182731,0.863164051,2.079438085
11596,565,302966.3654,136794.8878,Buildings,302964.81,136794.06,1.555388075,0.827762314,1.761937148
11878,57,301416.9765,141500.5236,Buildings,301416.22,141498.1,0.756539381,2.423561027,2.538897376
12184,34,300924.092,142655.9092,Buildings,300923.63,142652.96,0.462043965,2.949224757,2.985198702
12329,59,301161.0965,142766.1281,Buildings,301158.21,142764.49,2.886546156,1.638091516,3.318959555
12419,16,301721.0663,143050.6721,Buildings,301721.892,143049.619,-0.825660593,1.053059852,1.338151884
